>KU711814.1.1430, Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Edwardsiella;Edwardsiella tarda
>KU937376.1.1441, Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Plesiomonas;Plesiomonas shigelloides
>HQ154759.1.1364, Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;uncultured prokaryote
>AJ514257.1.1574, Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;uncultured;gamma proteobacterium 128
>LN870315.1.1521, Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus eurekensis
>LN810552.1.1527, Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter;Psychrobacter sp. DSM 5684
>U87102.1.1457, Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Weeksellaceae;Ornithobacterium;Ornithobacterium rhinotracheale
>LN623629.1.1357, Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Neisseriaceae;Neisseria;Neisseria sp. 260
>HQ686274.1.1371, Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter;Psychrobacter sp. enrichment culture clone CL110
>KF064454.1.1364, Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Proteus;uncultured bacterium
>Y10076.1.1387, Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium 1;Corynebacterium phocae
>HQ759161.1.1444, Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia-Shigella;uncultured organism
>HQ741349.1.1451, Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia-Shigella;uncultured bacterium
>KF101504.1.1362, Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Atopobium;uncultured bacterium
>HQ764535.1.1442, Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia-Shigella;uncultured organism
>HQ748575.1.1445, Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia-Shigella;uncultured organism
>KF956381.1.1454, Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Photobacterium;Photobacterium damselae subsp. piscicida (causative agent of fish
>KF999707.1.1439, Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Sporosarcina;Sporosarcina sp. THG-b65
>EU636013.1.1432, Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Carnobacterium;Antarctic bacterium L1
>HQ728188.1.2812, Eukaryota;Archaeplastida;Rhodophyceae;Bangiales;Pyropia;Pyropia pseudolinearis
>KM021070.1.1373, Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Enterobacter;Enterobacteriaceae bacterium 124G
>KM257656.1.1510, Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus faecium
>KJ437477.1.1458, Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus sp. VIT-SSCJ4
>KC545898.1.1494, Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus faecalis
>EU915471.1.1320, Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter;Psychrobacter phenylpyruvicus
>KM871868.1.1440, Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter;Psychrobacter marincola
>KJ626243.1.1465, Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Vagococcus;Vagococcus fluvialis
>KF026324.1.1468, Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Sporosarcina;Sporosarcina aquimarina
>HQ787738.1.1451, Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Enterobacter;uncultured organism
>AF110418.1.2904, Eukaryota;Excavata;Discoba;Discicristata;Euglenozoa;Euglenida;Aphagea;Gyropaigne;Gyropaigne lefevrei
>HQ802283.1.1487, Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;uncultured organism
>CP016043.715424.716974, Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Edwardsiella;Edwardsiella hoshinae
>FJ210809.1.1423, Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella;Shewanella sp. QDHT-14
>KC734118.1.1430, Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia-Shigella;bacterium 28S415
>KJ848610.1.1447, Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus altitudinis
>CCBJ010002064.1.1221, Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Salmonella;Salmonella enterica subsp. enterica serovar Manhattan
>HQ806530.1.1456, Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;uncultured organism
>JF091577.1.1328, Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Rothia;uncultured bacterium
>DQ344539.1.1416, Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Salmonella;Salmonella enterica subsp. enterica serovar Paratyphi B
>DQ360844.1.1532, Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia-Shigella;Escherichia coli
>FJ705898.1.3496, Eukaryota;SAR;Rhizaria;Retaria;Foraminifera;Globothalamea;Rotaliida;Anomalinidae;Cibicidoides;Cibicidoides ungerianus
